RegionID,SizeRank,RegionName,RegionType,StateName,2024-10-05,City
394346,217,"Athens, GA",msa,GA,65.0,ATHENS
394765,218,"Lake Havasu City, AZ",msa,AZ,70.0,LAKE HAVASU CITY
394485,219,"Columbia, MO",msa,MO,32.0,COLUMBIA
395114,220,"Springfield, IL",msa,IL,25.0,SPRINGFIELD
394872,222,"Monroe, LA",msa,LA,46.0,MONROE
394565,223,"Elkhart, IN",msa,IN,42.0,ELKHART
394726,224,"Johnson City, TN",msa,TN,35.0,JOHNSON CITY
394623,226,"Gainesville, GA",msa,GA,54.0,GAINESVILLE
394716,227,"Jacksonville, NC",msa,NC,35.0,JACKSONVILLE
394597,228,"Florence, SC",msa,SC,55.0,FLORENCE
394680,229,"Hilo, HI",msa,HI,77.0,HILO
395118,230,"St. Cloud, MN",msa,MN,39.0,ST. CLOUD
394380,232,"Bend, OR",msa,OR,70.0,BEND
395047,233,"Saginaw, MI",msa,MI,34.0,SAGINAW
395202,234,"Warner Robins, GA",msa,GA,42.0,WARNER ROBINS
395151,235,"Terre Haute, IN",msa,IN,40.0,TERRE HAUTE
395162,236,"Torrington, CT",msa,CT,46.0,TORRINGTON
395009,237,"Punta Gorda, FL",msa,FL,89.0,PUNTA GORDA
394386,239,"Billings, MT",msa,MT,48.0,BILLINGS
395018,240,"Redding, CA",msa,CA,47.0,REDDING
394748,241,"Kingston, NY",msa,NY,56.0,KINGSTON
394960,242,"Panama City, FL",msa,FL,99.0,PANAMA CITY
394729,243,"Joplin, MO",msa,MO,35.0,JOPLIN
394539,244,"Dover, DE",msa,DE,36.0,DOVER
394712,246,"Jackson, TN",msa,TN,49.0,JACKSON
395246,247,"Yuba City, CA",msa,CA,47.0,YUBA CITY
394406,248,"Bowling Green, KY",msa,KY,52.0,BOWLING GREEN
395119,249,"St. George, UT",msa,UT,57.0,ST. GEORGE
394896,250,"Muskegon, MI",msa,MI,31.0,MUSKEGON
394299,251,"Abilene, TX",msa,TX,60.0,ABILENE
394351,253,"Auburn, AL",msa,AL,52.0,AUBURN
394860,254,"Midland, TX",msa,TX,46.0,MIDLAND
753869,255,"Bloomington, IL",msa,IL,25.0,BLOOMINGTON
394651,259,"Greenville, NC",msa,NC,37.0,GREENVILLE
394428,260,"Burlington, NC",msa,NC,40.0,BURLINGTON
395210,261,"Waterloo, IA",msa,IA,30.0,WATERLOO
394480,262,"Coeur d'Alene, ID",msa,ID,69.0,COEUR D'ALENE
395007,264,"Pueblo, CO",msa,CO,71.0,PUEBLO
394731,267,"Kahului, HI",msa,HI,75.0,KAHULUI
