index,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,County
7120,86349,7298,64110,zip,MO,MO,KANSAS CITY,"Kansas City, MO-KS",Jackson County,JACKSON
7121,72661,7299,33527,zip,FL,FL,DOVER,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,HILLSBOROUGH
7122,58214,7300,01028,zip,MA,MA,EAST LONGMEADOW,"Springfield, MA",Hampden County,HAMPDEN
7123,97436,7300,93728,zip,CA,CA,FRESNO,"Fresno, CA",Fresno County,FRESNO
7124,64474,7302,16148,zip,PA,PA,HERMITAGE,"Youngstown-Warren-Boardman, OH-PA",Mercer County,MERCER
7125,75551,7302,40175,zip,KY,KY,VINE GROVE,"Elizabethtown-Fort Knox, KY",Meade County,MEADE
7126,73266,7304,35016,zip,AL,AL,ARAB,"Albertville, AL",Marshall County,MARSHALL
7127,84404,7305,60154,zip,IL,IL,WESTCHESTER,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,COOK
7128,97695,7306,94305,zip,CA,CA,STANFORD,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,SANTA CLARA
7129,60341,7308,06483,zip,CT,CT,SEYMOUR,"New Haven-Milford, CT",New Haven County,NEW HAVEN
7130,95152,7309,86047,zip,AZ,AZ,WINSLOW,"Show Low, AZ",Navajo County,NAVAJO
7131,65918,7310,19425,zip,PA,PA,CHESTER SPRINGS,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,CHESTER
7132,99042,7311,97038,zip,OR,OR,MOLALLA,"Portland-Vancouver-Hillsboro, OR-WA",Clackamas County,CLACKAMAS
7133,66675,7312,20866,zip,MD,MD,BURTONSVILLE,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,MONTGOMERY
7134,71076,7313,30360,zip,GA,GA,DUNWOODY,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,DEKALB
7135,87509,7314,67214,zip,KS,KS,WICHITA,"Wichita, KS",Sedgwick County,SEDGWICK
7136,58986,7315,02911,zip,RI,RI,NORTH PROVIDENCE,"Providence-Warwick, RI-MA",Providence County,PROVIDENCE
7137,64355,7316,15904,zip,PA,PA,JOHNSTOWN,"Johnstown, PA",Cambria County,CAMBRIA
7138,90611,7316,75001,zip,TX,TX,ADDISON,"Dallas-Fort Worth-Arlington, TX",Dallas County,DALLAS
7139,64618,7318,16504,zip,PA,PA,ERIE,"Erie, PA",Erie County,ERIE
7140,58400,7319,01520,zip,MA,MA,HOLDEN,"Worcester, MA-CT",Worcester County,WORCESTER
7141,85891,7320,63050,zip,MO,MO,HILLSBORO,"St. Louis, MO-IL",Jefferson County,JEFFERSON
7142,71305,7321,30747,zip,GA,GA,SUMMERVILLE,"Summerville, GA",Chattooga County,CHATTOOGA
7143,65533,7322,18612,zip,PA,PA,DALLAS,"Scranton--Wilkes-Barre, PA",Luzerne County,LUZERNE
7144,65575,7323,18707,zip,PA,PA,MOUNTAIN TOP,"Scranton--Wilkes-Barre, PA",Luzerne County,LUZERNE
7145,98186,7324,95422,zip,CA,CA,CLEARLAKE,"Clearlake, CA",Lake County,LAKE
7146,58760,7325,02451,zip,MA,MA,WALTHAM,"Boston-Cambridge-Newton, MA-NH",Middlesex County,MIDDLESEX
7147,65673,7326,18969,zip,PA,PA,TELFORD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,MONTGOMERY
7148,92157,7327,77905,zip,TX,TX,VICTORIA,"Victoria, TX",Victoria County,VICTORIA
7149,72708,7328,33605,zip,FL,FL,TAMPA,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,HILLSBOROUGH
7150,97528,7329,94041,zip,CA,CA,MOUNTAIN VIEW,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,SANTA CLARA
7151,69164,7330,27006,zip,NC,NC,ADVANCE,"Winston-Salem, NC",Davie County,DAVIE
7152,59023,7331,03063,zip,NH,NH,NASHUA,"Manchester-Nashua, NH",Hillsborough County,HILLSBOROUGH
7153,99747,7332,98360,zip,WA,WA,ORTING,"Seattle-Tacoma-Bellevue, WA",Pierce County,PIERCE
7154,58516,7333,01850,zip,MA,MA,LOWELL,"Boston-Cambridge-Newton, MA-NH",Middlesex County,MIDDLESEX
7155,92777,7334,79029,zip,TX,TX,DUMAS,"Dumas, TX",Moore County,MOORE
7156,85070,7335,61603,zip,IL,IL,PEORIA,"Peoria, IL",Peoria County,PEORIA
7157,65988,7336,19530,zip,PA,PA,KUTZTOWN,"Reading, PA",Berks County,BERKS
7158,75845,7337,40962,zip,KY,KY,MANCHESTER,"London, KY",Clay County,CLAY
7159,61875,7338,10580,zip,NY,NY,RYE,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,WESTCHESTER
7160,74905,7339,38611,zip,MS,MS,BYHALIA,"Memphis, TN-MS-AR",Marshall County,MARSHALL
7161,99818,7340,98467,zip,WA,WA,UNIVERSITY PLACE,"Seattle-Tacoma-Bellevue, WA",Pierce County,PIERCE
7162,85593,7341,62629,zip,IL,IL,CHATHAM,"Springfield, IL",Sangamon County,SANGAMON
7163,85903,7342,63069,zip,MO,MO,PACIFIC,"St. Louis, MO-IL",Saint Louis County,SAINT LOUIS
7164,68290,7343,24740,zip,WV,WV,PRINCETON,"Bluefield, WV-VA",Mercer County,MERCER
7165,82159,7344,55306,zip,MN,MN,BURNSVILLE,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County,DAKOTA
7166,72999,7345,34105,zip,FL,FL,NAPLES,"Naples-Marco Island, FL",Collier County,COLLIER
7167,67220,7346,22302,zip,VA,VA,ARLINGTON,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington County,ARLINGTON
7168,73231,7346,34951,zip,FL,FL,FORT PIERCE,"Port St. Lucie, FL",Saint Lucie County,SAINT LUCIE
7169,76992,7348,44089,zip,OH,OH,VERMILION,"Sandusky, OH",Erie County,ERIE
7170,89193,7349,71753,zip,AR,AR,MAGNOLIA,"Magnolia, AR",Columbia County,COLUMBIA
7171,65555,7350,18640,zip,PA,PA,PITTSTON,"Scranton--Wilkes-Barre, PA",Luzerne County,LUZERNE
7172,70304,7350,29102,zip,SC,SC,MANNING,"Sumter, SC",Clarendon County,CLARENDON
7173,92048,7350,77587,zip,TX,TX,SOUTH HOUSTON,"Houston-The Woodlands-Sugar Land, TX",Harris County,HARRIS
7174,65161,7353,17745,zip,PA,PA,LOCK HAVEN,"Lock Haven, PA",Clinton County,CLINTON
7175,92038,7353,77575,zip,TX,TX,LIBERTY,"Houston-The Woodlands-Sugar Land, TX",Liberty County,LIBERTY
7176,71522,7355,31407,zip,GA,GA,PORT WENTWORTH,"Savannah, GA",Chatham County,CHATHAM
